size;AHP Time;AHP + MCL Time
4;0.004539836;0.11709750000000001
6;0.009895819999999998;0.12307000000000001
8;0.0513243;0.13091709999999998
10;0.1917394;0.1461967
12;0.5747509999999999;0.1760548
14;1.454416;0.23847210000000002
16;3.2691070000000004;0.3056651
18;6.625147;0.5245128
20;12.70867;0.8044342
22;23.184999999999995;1.4148979999999998
24;38.730720000000005;2.252616
26;61.091719999999995;5.102582
28;95.45523;8.652771
30;147.404;10.7644
32;218.49220000000005;17.51376
34;309.7018;43.9709
36;461.3247;57.342420000000004
38;999999999;79.54553000000001
40;999999999;161.68630000000002
42;999999999;205.83180000000002
44;999999999;315.6188
46;999999999;643.7520000000001
48;999999999;882.9721999999999
